,Unnamed: 0,Unnamed: 0.1,REGISTO,listing_url,first_review,LATITUDE,LONGITUDE,bigOwner
3537,3537,4057,801057.0,https://www.airbnb.com/rooms/32004377,2019-08-02,,,True
3538,3538,4294,83516.0,https://www.airbnb.com/rooms/31324680,2019-09-02,41.160376,-8.624770800000002,True
3539,3539,4429,85127.0,https://www.airbnb.com/rooms/31332852,2019-09-02,41.1444385,-8.614132099999999,True
3540,3540,3771,76155.0,https://www.airbnb.com/rooms/31142716,2019-09-02,41.1704645,-8.6198478,False
3541,3541,4118,81014.0,https://www.airbnb.com/rooms/31014776,2019-09-02,41.145674,-8.613472300000002,True
3542,3542,2365,57079.0,https://www.airbnb.com/rooms/31460513,2019-10-02,41.1453641,-8.6036546,True
3543,3543,748,34534.0,https://www.airbnb.com/rooms/31399844,2019-10-02,41.1447114,-8.6113254,False
3544,3544,2492,58648.0,https://www.airbnb.com/rooms/25316827,2019-10-02,41.1485339,-8.6075535,True
3545,3545,4640,89231.0,https://www.airbnb.com/rooms/30883589,2019-11-02,41.1536479,-8.5997933,True
3546,3546,4221,82567.0,https://www.airbnb.com/rooms/29791123,2019-11-02,41.1508977,-8.620225099999999,True
3547,3547,944,38347.0,https://www.airbnb.com/rooms/26057978,2019-12-02,41.1504003,-8.609689300000001,True
3548,3548,4704,90119.0,https://www.airbnb.com/rooms/31192472,2019-12-02,41.1429515,-8.6137181,False
3549,3549,3872,77634.0,https://www.airbnb.com/rooms/30590868,2019-12-02,41.1500995,-8.6121368,False
3550,3550,1525,48529.0,https://www.airbnb.com/rooms/31941324,2019-12-02,41.1461779,-8.6066391,True
3551,3551,4657,89483.0,https://www.airbnb.com/rooms/32030782,2019-12-02,41.149706,-8.605587,False
3552,3552,4873,93122.0,https://www.airbnb.com/rooms/32229612,2019-02-13,41.1608499,-8.6245254,True
3553,3553,3525,72898.0,https://www.airbnb.com/rooms/31874925,2019-02-14,,,False
3554,3554,4594,87541.0,https://www.airbnb.com/rooms/31496509,2019-02-15,41.1546571,-8.631261300000002,True
3555,3555,1489,48330.0,https://www.airbnb.com/rooms/31947484,2019-02-15,41.1462049,-8.605356800000001,True
3556,3556,4328,83940.0,https://www.airbnb.com/rooms/31299512,2019-02-16,41.1511244,-8.6119954,False
3557,3557,4769,91237.0,https://www.airbnb.com/rooms/32188168,2019-02-16,41.1501099,-8.6012854,True
3558,3558,4425,85097.0,https://www.airbnb.com/rooms/31035946,2019-02-16,41.156975,-8.6044759,True
3559,3559,4334,83988.0,https://www.airbnb.com/rooms/31846298,2019-02-16,41.1545524,-8.600538199999999,True
3560,3560,4755,90957.0,https://www.airbnb.com/rooms/31015898,2019-02-16,41.1525606,-8.6046631,True
3561,3561,4688,89955.0,https://www.airbnb.com/rooms/30066191,2019-02-17,41.1501019,-8.6042514,True
3562,3562,4633,89138.0,https://www.airbnb.com/rooms/31816154,2019-02-17,41.1472382,-8.6065795,False
3563,3563,4185,82071.0,https://www.airbnb.com/rooms/22683288,2019-02-17,41.1475579,-8.6140635,False
3564,3564,919,37995.0,https://www.airbnb.com/rooms/32380132,2019-02-17,41.1465459,-8.604957699999998,True
3565,3565,571,30771.0,https://www.airbnb.com/rooms/31051803,2019-02-17,41.149185,-8.620856100000001,True
3566,3566,4238,82752.0,https://www.airbnb.com/rooms/31414572,2019-02-17,41.1463839,-8.5930403,False
3567,3567,4696,90067.0,https://www.airbnb.com/rooms/32123523,2019-02-17,41.1465878,-8.612224699999999,True
3568,3568,1719,50596.0,https://www.airbnb.com/rooms/32019098,2019-02-17,41.14522,-8.614268,True
3569,3569,4757,90959.0,https://www.airbnb.com/rooms/31012055,2019-02-17,41.15745620000001,-8.601927,True
3570,3570,4728,90443.0,https://www.airbnb.com/rooms/31728216,2019-02-18,41.1609816,-8.606601,True
3571,3571,4692,89993.0,https://www.airbnb.com/rooms/31926219,2019-02-18,41.1506496,-8.6077201,True
3572,3572,4618,88792.0,https://www.airbnb.com/rooms/31458585,2019-02-18,41.1442029,-8.604010800000001,True
3573,3573,1436,46964.0,https://www.airbnb.com/rooms/29384456,2019-02-19,41.151373,-8.6254985,True
3574,3574,4819,92023.0,https://www.airbnb.com/rooms/31581168,2019-02-19,41.1486555,-8.6186122,True
3575,3575,874,37432.0,https://www.airbnb.com/rooms/32179284,2019-02-20,41.1758311,-8.6297479,True
3576,3576,4744,90862.0,https://www.airbnb.com/rooms/32323039,2019-02-21,41.1609816,-8.606601,True
3577,3577,4608,87828.0,https://www.airbnb.com/rooms/29921231,2019-02-22,41.1478918,-8.6082412,True
3578,3578,760,34684.0,https://www.airbnb.com/rooms/22595634,2019-02-23,41.1437846,-8.6125926,False
3579,3579,4727,90442.0,https://www.airbnb.com/rooms/32485098,2019-02-23,41.1693615,-8.6237255,False
3580,3580,4605,87746.0,https://www.airbnb.com/rooms/29917985,2019-02-23,41.1478918,-8.6082412,False
3581,3581,4603,87744.0,https://www.airbnb.com/rooms/29917983,2019-02-24,41.1478918,-8.6082412,False
3582,3582,4043,79905.0,https://www.airbnb.com/rooms/31072510,2019-02-25,41.1560878,-8.6045191,True
3583,3583,3006,64995.0,https://www.airbnb.com/rooms/31663690,2019-02-25,41.1476778,-8.615419900000001,False
3584,3584,2648,60295.0,https://www.airbnb.com/rooms/31605783,2019-02-25,41.1427929,-8.6142561,True
3585,3585,19,11230.0,https://www.airbnb.com/rooms/29646165,2019-02-25,41.1673001,-8.6095655,False
3586,3586,3595,73962.0,https://www.airbnb.com/rooms/19179441,2019-02-25,41.1538358,-8.611889,False
3587,3587,1437,47006.0,https://www.airbnb.com/rooms/30488589,2019-02-25,41.1422791,-8.6146502,False
3588,3588,4706,90125.0,https://www.airbnb.com/rooms/32383555,2019-02-25,41.1570154,-8.6046408,False
