,REGISTO,listing_url,price,LATITUDE,LONGITUDE
2,10052,https://www.airbnb.com/rooms/3790726,$100.00,41.1527581,-8.6080347
298,23069,https://www.airbnb.com/rooms/3786580,$45.00,41.1497378,-8.612992199999999
1824,5200,https://www.airbnb.com/rooms/3468335,$55.00,41.140457,-8.614856999999999
441,27671,https://www.airbnb.com/rooms/2160641,$50.00,41.17159669999999,-8.6564908
741,34439,https://www.airbnb.com/rooms/3694971,$28.00,41.1520826,-8.602394300000002
289,22943,https://www.airbnb.com/rooms/3855420,$50.00,41.1433176,-8.609641
134,17076,https://www.airbnb.com/rooms/122362,$75.00,41.1769756,-8.6275017
2588,5972,https://www.airbnb.com/rooms/23684590,$62.00,41.14774,-8.6220799
2323,5648,https://www.airbnb.com/rooms/3660051,$105.00,41.1470782,-8.616636199999999
86,15136,https://www.airbnb.com/rooms/3915339,$70.00,41.1433268,-8.6098526
85,15133,https://www.airbnb.com/rooms/3912953,$70.00,41.1433026,-8.609858000000001
2999,6484,https://www.airbnb.com/rooms/3841597,$100.00,41.149371200000004,-8.5984739
3307,69835,https://www.airbnb.com/rooms/3907554,$45.00,41.16111110000001,-8.5902476
2685,6067,https://www.airbnb.com/rooms/2558177,$220.00,41.141748,-8.611177999999999
56,13115,https://www.airbnb.com/rooms/3430497,$54.00,41.149695799999996,-8.615852199999999
1983,53757,https://www.airbnb.com/rooms/3936940,$29.00,41.1496999,-8.615869199999999
2838,6294,https://www.airbnb.com/rooms/3699970,$34.00,41.1582799,-8.6122671
846,3665,https://www.airbnb.com/rooms/4037558,$45.00,41.142714700000006,-8.6143476
1433,46913,https://www.airbnb.com/rooms/3902889,$80.00,41.1457693,-8.600028199999999
1800,51544,https://www.airbnb.com/rooms/2961935,$103.00,41.1502805,-8.6069558
8,10864,https://www.airbnb.com/rooms/3902134,$77.00,41.152119299999995,-8.6102065
102,1584,https://www.airbnb.com/rooms/4180180,$35.00,41.149299799999994,-8.603923499999999
1373,45922,https://www.airbnb.com/rooms/3770582,$60.00,41.1582432,-8.650615199999999
405,26464,https://www.airbnb.com/rooms/4083992,$75.00,41.1516439,-8.6050147
151,17880,https://www.airbnb.com/rooms/4231168,$70.00,41.1527581,-8.6080347
91,15533,https://www.airbnb.com/rooms/4233521,$100.00,41.1483256,-8.6121784
460,28217,https://www.airbnb.com/rooms/4043481,$90.00,41.1578501,-8.5944001
2233,55278,https://www.airbnb.com/rooms/4286886,$33.00,,
206,20267,https://www.airbnb.com/rooms/4348561,$52.00,41.14566079999999,-8.612141900000001
2791,62039,https://www.airbnb.com/rooms/599563,$40.00,41.1482238,-8.615174399999999
3101,6641,https://www.airbnb.com/rooms/3257481,$350.00,41.1615184,-8.6026045
1516,48505,https://www.airbnb.com/rooms/4434084,$53.00,41.157131,-8.602122999999999
2682,60611,https://www.airbnb.com/rooms/4291723,$45.00,41.1466066,-8.6033518
4168,8172,https://www.airbnb.com/rooms/4664886,$48.00,41.1467088,-8.620449299999999
208,20333,https://www.airbnb.com/rooms/4278355,$64.00,41.148359899999996,-8.6673157
790,35500,https://www.airbnb.com/rooms/4355114,$101.00,41.141445700000006,-8.6076032
47,12475,https://www.airbnb.com/rooms/4742283,$89.00,41.1493221,-8.6129939
402,26404,https://www.airbnb.com/rooms/4913183,$55.00,41.1433268,-8.6098526
1935,5327,https://www.airbnb.com/rooms/4807745,$120.00,41.1522793,-8.6163362
843,3658,https://www.airbnb.com/rooms/4835609,$175.00,41.1433026,-8.609858000000001
282,22464,https://www.airbnb.com/rooms/4682824,$80.00,41.152696999999996,-8.608371
2324,5651,https://www.airbnb.com/rooms/4722622,$50.00,41.149724799999994,-8.6121416
1036,39893,https://www.airbnb.com/rooms/4330965,$105.00,41.1401437,-8.616064199999999
3560,7330,https://www.airbnb.com/rooms/1832526,$60.00,41.1435694,-8.617467399999999
2577,59598,https://www.airbnb.com/rooms/4398685,$60.00,,
1838,5227,https://www.airbnb.com/rooms/4606080,$101.00,41.1522793,-8.6163362
1095,4115,https://www.airbnb.com/rooms/4801285,$26.00,41.1547679,-8.609148800000002
216,20524,https://www.airbnb.com/rooms/4658937,$41.00,41.1512994,-8.611895599999999
182,19218,https://www.airbnb.com/rooms/4549036,$55.00,41.1454349,-8.6128851
215,20523,https://www.airbnb.com/rooms/4664676,$57.00,41.1512994,-8.611895599999999
57,13182,https://www.airbnb.com/rooms/4939993,$60.00,,
404,26435,https://www.airbnb.com/rooms/4800002,$86.00,41.14626459999999,-8.612245399999999
4472,85729,https://www.airbnb.com/rooms/4186200,$37.00,41.146767700000005,-8.6018679
725,342,https://www.airbnb.com/rooms/4793404,$65.00,41.1463186,-8.612137599999999
810,35755,https://www.airbnb.com/rooms/2923070,$55.00,41.1423334,-8.6151691
1252,44416,https://www.airbnb.com/rooms/5121600,$40.00,,
3129,66582,https://www.airbnb.com/rooms/5266672,$55.00,41.146358299999996,-8.6030269
2966,64646,https://www.airbnb.com/rooms/5049948,$45.00,41.1483446,-8.6254315
14,11093,https://www.airbnb.com/rooms/5112063,$97.00,41.1444112,-8.6122789
16,11095,https://www.airbnb.com/rooms/5113224,$49.00,41.1444112,-8.6122789
15,11094,https://www.airbnb.com/rooms/5112992,$67.00,41.1444112,-8.6122789
5,10484,https://www.airbnb.com/rooms/5312175,$29.00,41.144287799999994,-8.608229399999999
174,19111,https://www.airbnb.com/rooms/1858460,$40.00,41.149724799999994,-8.6121416
1512,48400,https://www.airbnb.com/rooms/4716747,$65.00,41.14137720000001,-8.615672499999999
11,11090,https://www.airbnb.com/rooms/5091142,$97.00,41.1444112,-8.6122789
1930,5323,https://www.airbnb.com/rooms/4999976,$52.00,41.149033,-8.6162377
1240,44073,https://www.airbnb.com/rooms/5283892,$41.00,41.149299799999994,-8.603923499999999
4676,8976,https://www.airbnb.com/rooms/5495303,$31.00,41.1547679,-8.609148800000002
2106,5518,https://www.airbnb.com/rooms/5000362,$52.00,41.149033,-8.6162377
1586,49376,https://www.airbnb.com/rooms/5401443,$55.00,41.14676179999999,-8.5908635
45,12465,https://www.airbnb.com/rooms/5477997,$89.00,41.1493221,-8.6129939
4028,7979,https://www.airbnb.com/rooms/5291799,$115.00,41.1431794,-8.6126395
1765,50930,https://www.airbnb.com/rooms/4888144,$165.00,41.145388,-8.6119734
4485,85938,https://www.airbnb.com/rooms/5405099,$55.00,41.1476092,-8.600242999999999
2366,5712,https://www.airbnb.com/rooms/5296960,$44.00,41.15138169999999,-8.6144569
2832,62786,https://www.airbnb.com/rooms/5481092,$50.00,,
4384,8458,https://www.airbnb.com/rooms/4862493,$165.00,41.1461127,-8.620470800000001
4198,82216,https://www.airbnb.com/rooms/5112439,$55.00,41.1444969,-8.618083500000001
126,16828,https://www.airbnb.com/rooms/4896514,$65.00,41.1460935,-8.6087439
2047,54424,https://www.airbnb.com/rooms/5636308,$46.00,41.144887,-8.611429500000002
12,11092,https://www.airbnb.com/rooms/5112631,$57.00,41.1444112,-8.6122789
9,10994,https://www.airbnb.com/rooms/5473921,$65.00,41.1486388,-8.6142551
3930,7832,https://www.airbnb.com/rooms/5419410,$70.00,41.16702,-8.600207600000001
4451,85444,https://www.airbnb.com/rooms/4494176,$25.00,41.1444919,-8.6148224
2050,54441,https://www.airbnb.com/rooms/3530368,$47.00,41.1461779,-8.606639099999999
1349,45726,https://www.airbnb.com/rooms/5524457,$24.00,41.14403220000001,-8.6121676
652,32297,https://www.airbnb.com/rooms/4415976,$80.00,41.1447114,-8.6113254
352,24373,https://www.airbnb.com/rooms/5046025,$55.00,41.157968,-8.594930300000001
1395,46228,https://www.airbnb.com/rooms/5094105,$55.00,41.147782899999996,-8.6038867
604,3171,https://www.airbnb.com/rooms/5077724,$40.00,41.142311,-8.615382
4687,89950,https://www.airbnb.com/rooms/5691828,$49.00,41.181002,-8.6438811
4,10248,https://www.airbnb.com/rooms/5465136,$200.00,41.1700339,-8.597129599999999
2603,5987,https://www.airbnb.com/rooms/1858367,$47.00,41.146894700000004,-8.620465099999999
167,18949,https://www.airbnb.com/rooms/4649518,$54.00,41.160911299999995,-8.6247814
163,18784,https://www.airbnb.com/rooms/5046036,$46.00,41.1718568,-8.656932399999999
4336,8401,https://www.airbnb.com/rooms/5830043,$50.00,41.1612367,-8.631998000000001
4399,84715,https://www.airbnb.com/rooms/165699,$190.00,41.147405,-8.615659800000001
417,26856,https://www.airbnb.com/rooms/5684880,$60.00,41.1512758,-8.613917299999999
3155,6714,https://www.airbnb.com/rooms/5496215,$65.00,41.153118,-8.604869699999998
3370,7048,https://www.airbnb.com/rooms/5317199,$45.00,41.1474665,-8.6010849
3275,69069,https://www.airbnb.com/rooms/3858091,$35.00,41.1599171,-8.6314759
491,28995,https://www.airbnb.com/rooms/5930468,$50.00,41.1436836,-8.618035800000001
398,26385,https://www.airbnb.com/rooms/5237978,$118.00,,
3151,6709,https://www.airbnb.com/rooms/3741513,$148.00,41.15067379999999,-8.606749299999999
401,26393,https://www.airbnb.com/rooms/5275689,$69.00,41.1433268,-8.6098526
3565,7334,https://www.airbnb.com/rooms/5555465,$85.00,41.1412523,-8.6173113
716,34099,https://www.airbnb.com/rooms/5908623,$50.00,41.141427,-8.6138306
1338,45618,https://www.airbnb.com/rooms/5883347,$24.00,41.1543485,-8.647540099999999
207,20282,https://www.airbnb.com/rooms/5682890,$46.00,41.1550521,-8.679581299999999
